set,n,JT_p,spearman_rho,spearman_p,slope_unadjusted,p_unadjusted,slope_with_proliferation,p_with_proliferation,attenuation
all grades,339,0.0066,-0.144847555787802,0.00755858059615702,-20.0243914581753,0.00582515764517228,-12.5032584096144,0.0963755329432102,0.375598582572166
grade 4 excluded,327,0.0846,-0.0973631495596789,0.0787358431632989,-12.9315139461434,0.0996672853528851,-5.30092342573203,0.512215791537169,0.590077121069576
grades 3 and 4 collapsed,339,0.017,-0.130168003403725,0.0164846020289972,-17.6560318532228,0.0261630126964074,-9.11630875050358,0.266344413965249,0.483671709119649
