set,n,events,HR_grade,lo,hi,p
all grades,339,114,1.19892984624231,0.925118776917093,1.55378186247691,0.170199328405566
grade 4 excluded,327,109,1.14609812787758,0.86320443544044,1.52170316184054,0.345757252397305
