model,n,events,HR,lo,hi,p,n_genes_G2M,rho_G2M_vs_eight_gene
without any proliferation term,339,114,1.24115255115047,1.02720604385452,1.49965984375136,0.0252187870294879,172,0.928271148224698
with the eight-gene score,339,114,1.37106260810121,1.13162209539137,1.66116646448403,0.00127007679857016,172,0.928271148224698
with HALLMARK G2M,339,114,1.35420481868181,1.11625458699826,1.64287852636961,0.00210172980113792,172,0.928271148224698
