model,term,n,events,HR,CI_low,CI_high,p
TCGA-LIHC: proliferation score,zp,341,116,1.47278906937993,1.20528317114698,1.79966641434212,0.0001532855899732
GSE14520: proliferation score,zp,225,86,1.24183197236599,0.99292444030897,1.55313595373938,0.0577293700630873
