cohort,observed_ratio_of_HR,observed_rise_percent,noncollapsibility_median,noncollapsibility_rise_percent,noncollapsibility_lo,noncollapsibility_hi,share_of_rise_from_noncollapsibility,p_one_sided_obs_vs_noncollapsibility,B
TCGA-LIHC,1.10466888766439,10.4668887664393,1.01879749436145,1.87974943614484,0.959600893150237,1.10022897637016,0.187080062483886,0.023,1000
GSE14520,1.05371364865956,5.37136486595615,1.00404513952,0.404513952000185,0.96746641621923,1.06162765527805,0.0771583221049556,0.038,1000
