model,n,events,HR,lo,hi,p,rho_ESTIMATE_vs_proliferation
without the ESTIMATE score,339,114,1.37106260810121,1.13162209539137,1.66116646448403,0.00127007679857016,-0.0867586223891033
with the ESTIMATE score,339,114,1.41191149695254,1.16523414546933,1.71080986853835,0.000430194438375295,-0.0867586223891033
ESTIMATE score but no proliferation,339,114,1.26759490900012,1.04870580722816,1.53217121736931,0.0142195645447064,-0.0867586223891033
