cohort,term,chisq,df,p
GSE14520,z5,0.604444568406922,1,0.436887229084341
GSE14520,agev,1.26748930451547,1,0.260238213582112
GSE14520,sexv,0.0357282481288265,1,0.850077789016771
GSE14520,tnm_bin,2.15080493239091,1,0.142495166350214
GSE14520,zp,0.0894208249899387,1,0.764914751848849
GSE14520,GLOBAL,3.76306302815022,5,0.584007848565486
