pair,n,rho,lo,hi,p
CYB5R3 ~ proliferation,366,-0.216441127993619,-0.312028116063948,-0.116516240255021,2.96412e-05
CYB5R3 ~ composition proxy,366,-0.11133520297747,-0.211432211119498,-0.00892700687860086,0.033229
grade ~ proliferation,366,0.318896080944554,0.223698726489833,0.408066443176688,4.27253e-10
