endpoint,model,term,n,events,HR,CI_low,CI_high,p
OS,without proliferation,z5,339,114,1.24115255115047,1.02720604385452,1.49965984375136,0.0252187870294879
OS,with proliferation,z5,339,114,1.37106260810121,1.13162209539137,1.66116646448403,0.00127007679857016
OS,proliferation term itself,zp,339,114,1.58750534108624,1.27783631644367,1.97221911409687,0.0000298783145549627
DSS,without proliferation,z5,339,65,1.41237678518759,1.0946359526473,1.8223484972447,0.0079223422437885
DSS,with proliferation,z5,339,65,1.70155846171431,1.30884793918632,2.21209898564039,0.0000717679728656049
DSS,proliferation term itself,zp,339,65,2.0127940642349,1.49094933896792,2.71728880326927,0.00000491340875780999
PFI,without proliferation,z5,339,162,1.01199757786933,0.863908549635679,1.18547165443065,0.882546653876404
PFI,with proliferation,z5,339,162,1.08326460265363,0.921970226763048,1.27277667466796,0.330899159457341
PFI,proliferation term itself,zp,339,162,1.35978642138136,1.14511043122764,1.6147081201512,0.000455620100825873
