contrast,n1,n2,median1,median2,cliffs_delta,p,p_BH
S1 vs S2,115,74,12.866,12.70015,0.156051703877791,0.0706761673016714,0.118209625121487
S1 vs S3,115,176,12.866,12.76,0.121936758893281,0.0788064167476579,0.118209625121487
S2 vs S3,74,176,12.70015,12.76,-0.0338605651105651,0.673385225740606,0.673385225740606
