period,model,term,n,events,HR,CI_low,CI_high,p
0-24 months,landmark period,z5,339,84,1.37598768249196,1.09963913429621,1.72178494136748,0.00526529627834893
>24 months,landmark period,z5,127,30,1.28644229315515,0.825374311482177,2.0050706092929,0.265971107597744
