adjustment,grade_slope,p,attenuation_vs_none
none,-20.6770308766151,0.00528072045528523,0
+ proliferation score,-11.7102309242476,0.127716215467875,0.433659939179593
+ composition proxy,-21.0852210514116,0.00430894760626822,-0.0197412373774726
+ both,-11.71076138429,0.125355847994161,0.433634284623794
