subclass,n,JT_p,spearman_rho,spearman_p,JT_p_BH
S1,114,0.487662859174486,-0.063252861638346,0.503761606672243,0.487662859174486
S2,73,0.00463129222237376,-0.326376165178655,0.00483178461016989,0.0138938766671213
S3,173,0.0750391453273416,-0.135739245220931,0.074964959571769,0.112558717991012
