subclass,model,n,events,HR,CI_low,CI_high,p
S1,within S1,104,38,1.23860752166613,0.91381517882688,1.67883903471311,0.167860138966623
S2,within S2,69,29,1.04986463899147,0.741493759165099,1.48648015789877,0.783883880630477
S3,within S3,163,47,1.50398642642685,1.06906448498388,2.11584539814764,0.0191067958728992
