endpoint,model,term,n,events,HR,CI_low,CI_high,p,block
OS,GSE14520 reference,z5,225,86,1.31075782918234,1.03731243113208,1.65628602839335,0.0234002099284941,reference
OS,"same patients, WITHOUT cirrhosis",z5,225,86,1.31075782918234,1.03731243113208,1.65628602839335,0.0234002099284941,cirrhosis
OS,"same patients, WITH cirrhosis",z5,225,86,1.28904098633155,1.01771174252334,1.63270855097214,0.0352425501815363,cirrhosis
OS,BCLC in place of TNM,z5,225,86,1.35580235542734,1.06744804967347,1.72205104271316,0.0125973162679579,BCLC
