model,term,n,events,HR,CI_low,CI_high,p
POST HOC: base,z5,339,114,1.23088702585313,1.01907434012251,1.48672458010414,0.0310781122888204
POST HOC: + grade,z5,339,114,1.24115255115047,1.02720604385452,1.49965984375136,0.0252187870294879
POST HOC: + grade + proliferation,z5,339,114,1.37106260810121,1.13162209539137,1.66116646448403,0.00127007679857016
POST HOC: + grade + proliferation + composition,z5,339,114,1.41867850504997,1.16933282713769,1.72119404670901,0.00039085797887565
