cohort,n,rho,lo,hi,p,expected,as_expected
TCGA-LIHC,341,-0.192157208997371,-0.292395863236318,-0.0877419288303209,0.000358764615792609,negative,TRUE
GSE14520,225,-0.202142969268717,-0.324358100860719,-0.0732899964245884,0.00231313685692285,negative,TRUE
