term,chisq,df,p
z5,0.564156952192346,1,0.452590175443849
age,0.0473328130459532,1,0.827771130504745
sex,1.10397074677603,1,0.293396339887888
stage_bin,5.51751576771787,1,0.0188269764475179
grade_ord,0.0115012010936077,1,0.914595685069979
GLOBAL,7.395002652187,5,0.19288141859622
