model,n,events,HR,CI_low,CI_high,p,lrt_vs_M1,verdict
"M1 published covariates, subclassifiable patients only",336,114,1.24397879525017,1.03047384692029,1.50172005593051,0.0230607155935924,,
M2 + Hoshida subclass,336,114,1.24220604169819,1.03110155329606,1.49653139896727,0.022474641604865,0.072144896573263,Prognostic signal independent of subclass
M3 + subclass + histologic grade,334,112,1.26701188689831,1.04705295190194,1.53317854519736,0.0149919153666937,,
